owner;repo;yaml_filename;job;all_unused;maven_unused;fix_suggestion;old_commands
javaparser;javaparser;maven_tests.yml;maven_test (ubuntu-latest, 15);6;6;./mvnw -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn -B --errors clean test --activate-profiles AlsoSlowTests -Dmaven.test.failure.ignore=true;./mvnw -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn -B --errors clean test --activate-profiles AlsoSlowTest
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Cluster, PostgreSQL, db, );0;0;./mvnw -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn -B --errors clean test --activate-profiles AlsoSlowTests -Dmaven.test.failure.ignore=true;./mvnw -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn -B --errors clean test --activate-profiles AlsoSlowTest
checkstyle;checkstyle;error-prone.yml;error-prone;0;0;./mvnw -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn -B --errors clean test --activate-profiles AlsoSlowTests -Dmaven.test.failure.ignore=true;./mvnw -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn -B --errors clean test --activate-profiles AlsoSlowTest
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Cluster, MySQL, shadow, );0;0;./mvnw -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn -B --errors clean test --activate-profiles AlsoSlowTests -Dmaven.test.failure.ignore=true;./mvnw -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn -B --errors clean test --activate-profiles AlsoSlowTest
apache;incubator-seata;test-ubuntu.yml;test (11, ubuntu, 2.4.13         -D spring-framework.version=5.3.13);7;7;;"./mvnw -T 4C clean test -P args-for-client-test -Dspring-boot.version=${{ matrix.springboot }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Standalone, PostgreSQL, mask_encrypt_sharding, );0;0;;"./mvnw -T 4C clean test -P args-for-client-test -Dspring-boot.version=${{ matrix.springboot }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
sofastack;sofa-jraft;build.yml;test_storage_java_impl;0;0;;"./mvnw -T 4C clean test -P args-for-client-test -Dspring-boot.version=${{ matrix.springboot }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
OpenRefine;OpenRefine;pull_request_server.yml;linux_server_tests (21);7;7;"mvn -B jacoco:prepare-agent -DskipTests test jacoco:report
mvn -B compile test-compile formatter:validate impsort:check javadoc:javadoc -Ddoclint=all -Dmaven.test.skip=true";"mvn -B jacoco:prepare-agent test jacoco:report
mvn -B compile test-compile formatter:validate impsort:check javadoc:javadoc -Ddoclint=all"
immutables;immutables;ci.yml;build (11, ecj, errorprone);14;14;;mvn --batch-mode --no-transfer-progress clean test -P${{ matrix.compiler }} -Dextra=${{ matrix.extra }
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (jdbc, Standalone, PostgreSQL, distsql_rdl, );0;0;;mvn --batch-mode --no-transfer-progress clean test -P${{ matrix.compiler }} -Dextra=${{ matrix.extra }
TooTallNate;Java-WebSocket;checkstyle.yml;build;2;0;;mvn --batch-mode --no-transfer-progress clean test -P${{ matrix.compiler }} -Dextra=${{ matrix.extra }
thingsboard;thingsboard;license-header-format.yml;license-format;0;0;;mvn --batch-mode --no-transfer-progress clean test -P${{ matrix.compiler }} -Dextra=${{ matrix.extra }
apache;incubator-streampark;codeql-analysis.yml;analyze (java);0;0;;mvn --batch-mode --no-transfer-progress clean test -P${{ matrix.compiler }} -Dextra=${{ matrix.extra }
apache;zeppelin;core.yml;default-build (8);289;289;./mvnw clean verify -DskipTests ${MAVEN_ARGS} -Dmaven.test.failure.ignore=true ;./mvnw clean verify -DskipTests ${MAVEN_ARGS
stleary;JSON-java;pipeline.yml;build-17 (17);0;0;./mvnw clean verify -DskipTests ${MAVEN_ARGS} -Dmaven.test.failure.ignore=true ;./mvnw clean verify -DskipTests ${MAVEN_ARGS
clojure;clojure;test.yml;test (ubuntu-latest, 17, temurin, test-no-direct);2;2;mvn -ntp -B -P${{ matrix.profile }} clean test -Dmaven.test.skip=true;mvn -ntp -B -P${{ matrix.profile }} clean tes
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Standalone, PostgreSQL, sharding_and_encrypt, );0;0;mvn -ntp -B -P${{ matrix.profile }} clean test -Dmaven.test.skip=true;mvn -ntp -B -P${{ matrix.profile }} clean tes
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Cluster, MySQL, sharding_encrypt_shadow, );0;0;mvn -ntp -B -P${{ matrix.profile }} clean test -Dmaven.test.skip=true;mvn -ntp -B -P${{ matrix.profile }} clean tes
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Standalone, MySQL, mask_encrypt_sharding, );0;0;mvn -ntp -B -P${{ matrix.profile }} clean test -Dmaven.test.skip=true;mvn -ntp -B -P${{ matrix.profile }} clean tes
apache;incubator-seata;test-ubuntu.yml;test (21, ubuntu, 2.5.15         -D spring-framework.version=5.3.27);7;7;;"./mvnw -T 4C clean test -P args-for-client-test -Dspring-boot.version=${{ matrix.springboot }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Standalone, MySQL, tbl, );0;0;;"./mvnw -T 4C clean test -P args-for-client-test -Dspring-boot.version=${{ matrix.springboot }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
apache;shenyu;integrated-test.yml;build (shenyu-integrated-test-motan);1;1;./mvnw test -Pit -f ./shenyu-integrated-test/${{ matrix.case }}/pom.xml -Dmaven.test.failure.ignore=true ;./mvnw test -Pit -f ./shenyu-integrated-test/${{ matrix.case }}/pom.xm
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Standalone, openGauss, encrypt_shadow, );0;0;./mvnw test -Pit -f ./shenyu-integrated-test/${{ matrix.case }}/pom.xml -Dmaven.test.failure.ignore=true ;./mvnw test -Pit -f ./shenyu-integrated-test/${{ matrix.case }}/pom.xm
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Standalone, MySQL, sharding_encrypt_shadow, );0;0;./mvnw test -Pit -f ./shenyu-integrated-test/${{ matrix.case }}/pom.xml -Dmaven.test.failure.ignore=true ;./mvnw test -Pit -f ./shenyu-integrated-test/${{ matrix.case }}/pom.xm
apache;shardingsphere;e2e-sql.yml;e2e-sql (jdbc, Standalone, MySQL, shadow, );0;0;./mvnw test -Pit -f ./shenyu-integrated-test/${{ matrix.case }}/pom.xml -Dmaven.test.failure.ignore=true ;./mvnw test -Pit -f ./shenyu-integrated-test/${{ matrix.case }}/pom.xm
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Cluster, openGauss, passthrough, );0;0;./mvnw test -Pit -f ./shenyu-integrated-test/${{ matrix.case }}/pom.xml -Dmaven.test.failure.ignore=true ;./mvnw test -Pit -f ./shenyu-integrated-test/${{ matrix.case }}/pom.xm
crate;crate;main.yml;forbiddenApis;20;20;;mvn compile forbiddenapis:check
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Cluster, openGauss, distsql_rdl, );0;0;;mvn compile forbiddenapis:check
Konloch;bytecode-viewer;maven.yml;build (8);1;1;mvn -B package -Dmaven.compiler.source=11 -Dmaven.compiler.target=11 --file pom.xml ;mvn -B package --file pom.xm
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Standalone, MySQL, encrypt_shadow, );0;0;mvn -B package -Dmaven.compiler.source=11 -Dmaven.compiler.target=11 --file pom.xml ;mvn -B package --file pom.xm
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Standalone, PostgreSQL, readwrite_splitting, );0;0;mvn -B package -Dmaven.compiler.source=11 -Dmaven.compiler.target=11 --file pom.xml ;mvn -B package --file pom.xm
kekingcn;kkFileView;maven.yml;build;0;0;mvn -B package -Dmaven.compiler.source=11 -Dmaven.compiler.target=11 --file pom.xml ;mvn -B package --file pom.xm
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Standalone, MySQL, tbl, );0;0;mvn -B package -Dmaven.compiler.source=11 -Dmaven.compiler.target=11 --file pom.xml ;mvn -B package --file pom.xm
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Standalone, openGauss, mask_sharding, );0;0;mvn -B package -Dmaven.compiler.source=11 -Dmaven.compiler.target=11 --file pom.xml ;mvn -B package --file pom.xm
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Standalone, PostgreSQL, readwrite_splitting, );0;0;mvn -B package -Dmaven.compiler.source=11 -Dmaven.compiler.target=11 --file pom.xml ;mvn -B package --file pom.xm
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (jdbc, Standalone, PostgreSQL, readwrite_splitting, );0;0;mvn -B package -Dmaven.compiler.source=11 -Dmaven.compiler.target=11 --file pom.xml ;mvn -B package --file pom.xm
apache;shardingsphere;e2e-sql.yml;e2e-sql (jdbc, Standalone, PostgreSQL, sharding_encrypt_shadow, );0;0;mvn -B package -Dmaven.compiler.source=11 -Dmaven.compiler.target=11 --file pom.xml ;mvn -B package --file pom.xm
AsyncHttpClient;async-http-client;builds.yml;RunOnLinux;1;1;./mvnw -B -ntp clean test -Dmaven.test.failure.ignore=true;./mvnw -B -ntp clean tes
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (jdbc, Standalone, MySQL, sharding_and_shadow, );0;0;./mvnw -B -ntp clean test -Dmaven.test.failure.ignore=true;./mvnw -B -ntp clean tes
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Cluster, PostgreSQL, dbtbl_with_readwrite_splitting_and_encrypt, );0;0;./mvnw -B -ntp clean test -Dmaven.test.failure.ignore=true;./mvnw -B -ntp clean tes
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Cluster, PostgreSQL, encrypt, );0;0;./mvnw -B -ntp clean test -Dmaven.test.failure.ignore=true;./mvnw -B -ntp clean tes
apache;incubator-seata;test-ubuntu.yml;test (21, ubuntu, 2.2.13.RELEASE -D spring-framework.version=5.2.12.RELEASE);5;5;;"./mvnw -T 4C clean test -P args-for-client-test -Dspring-boot.version=${{ matrix.springboot }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Standalone, PostgreSQL, mask, );0;0;;"./mvnw -T 4C clean test -P args-for-client-test -Dspring-boot.version=${{ matrix.springboot }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
apache;incubator-seata;codeql-analysis.yml;analyze (java);0;0;;"./mvnw -T 4C clean test -P args-for-client-test -Dspring-boot.version=${{ matrix.springboot }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
apache;shardingsphere;e2e-sql.yml;e2e-sql (jdbc, Standalone, MySQL, encrypt, );0;0;;"./mvnw -T 4C clean test -P args-for-client-test -Dspring-boot.version=${{ matrix.springboot }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Cluster, PostgreSQL, readwrite_splitting_and_shadow, );0;0;;"./mvnw -T 4C clean test -P args-for-client-test -Dspring-boot.version=${{ matrix.springboot }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
DTStack;chunjun;build.yml;build;1;1;./mvnw clean package -Dmaven.test.skip -Dskip.assembly --no-snapshot-updates;./mvnw clean package -Dmaven.test.skip --no-snapshot-updates
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (jdbc, Standalone, openGauss, encrypt_shadow, );0;0;./mvnw clean package -Dmaven.test.skip -Dskip.assembly --no-snapshot-updates;./mvnw clean package -Dmaven.test.skip --no-snapshot-updates
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Standalone, PostgreSQL, sharding_encrypt_shadow, );0;0;./mvnw clean package -Dmaven.test.skip -Dskip.assembly --no-snapshot-updates;./mvnw clean package -Dmaven.test.skip --no-snapshot-updates
apache;zeppelin;core.yml;spark-integration-test (8);266;266;./mvnw install -DskipTests -pl zeppelin-interpreter-integration,zeppelin-web,spark-submit,spark/scala-2.12,spark/scala-2.13,markdown -am -Pweb-classic -Pintegration ${MAVEN_ARGS}./mvnw clean package -pl zeppelin-plugins -amd -DskipTests -Dmaven.test.skip=true ${MAVEN_ARGS};"./mvnw install -DskipTests -pl zeppelin-interpreter-integration,zeppelin-web,spark-submit,spark/scala-2.12,spark/scala-2.13,markdown -am -Pweb-classic -Pintegration ${MAVEN_ARGS}
./mvnw clean package -pl zeppelin-plugins -amd -DskipTests ${MAVEN_ARGS}"
javaparser;javaparser;maven_tests.yml;maven_test (ubuntu-latest, 12);8;8;./mvnw -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn -B --errors clean test --activate-profiles AlsoSlowTests -Dmaven.test.skip=true ;./mvnw -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn -B --errors clean test --activate-profiles AlsoSlowTest
clojure;clojure;test.yml;test (ubuntu-latest, 8, temurin, test-no-direct);1;1;mvn -ntp -B -P${{ matrix.profile }} clean test -Dmaven.test.skip=true;mvn -ntp -B -P${{ matrix.profile }} clean tes
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Cluster, PostgreSQL, shadow, );0;0;mvn -ntp -B -P${{ matrix.profile }} clean test -Dmaven.test.skip=true;mvn -ntp -B -P${{ matrix.profile }} clean tes
immutables;immutables;ci.yml;build (8, ecj, none);16;16;mvn --batch-mode --no-transfer-progress clean test -P${{ matrix.compiler }} -Dextra=${{ matrix.extra }} -DskipTests=true ;mvn --batch-mode --no-transfer-progress clean test -P${{ matrix.compiler }} -Dextra=${{ matrix.extra }
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Cluster, PostgreSQL, db, );0;0;mvn --batch-mode --no-transfer-progress clean test -P${{ matrix.compiler }} -Dextra=${{ matrix.extra }} -DskipTests=true ;mvn --batch-mode --no-transfer-progress clean test -P${{ matrix.compiler }} -Dextra=${{ matrix.extra }
apache;shardingsphere;e2e-sql.yml;e2e-sql (jdbc, Standalone, PostgreSQL, readwrite_splitting, );0;0;mvn --batch-mode --no-transfer-progress clean test -P${{ matrix.compiler }} -Dextra=${{ matrix.extra }} -DskipTests=true ;mvn --batch-mode --no-transfer-progress clean test -P${{ matrix.compiler }} -Dextra=${{ matrix.extra }
apache;incubator-seata;test-ubuntu.yml;test (11, ubuntu, 2.3.12.RELEASE -D spring-framework.version=5.2.15.RELEASE);3;3;;"./mvnw -T 4C clean test -P args-for-client-test -Dspring-boot.version=${{ matrix.springboot }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
alibaba;nacos;it.yml;test (ubuntu-latest, 8);0;0;;"./mvnw -T 4C clean test -P args-for-client-test -Dspring-boot.version=${{ matrix.springboot }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Cluster, MySQL, mask, );0;0;;"./mvnw -T 4C clean test -P args-for-client-test -Dspring-boot.version=${{ matrix.springboot }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
apache;rocketmq;integration-test.yml;it-test (ubuntu-latest, 8);0;0;;"./mvnw -T 4C clean test -P args-for-client-test -Dspring-boot.version=${{ matrix.springboot }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
aragozin;jvm-tools;maven.yml;build8;4;4;mvn -B package --file pom.xml -DdisableToolchain -DskipTests;mvn -B package --file pom.xml -DdisableToolchai
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (jdbc, Standalone, PostgreSQL, sharding_encrypt_shadow, );0;0;mvn -B package --file pom.xml -DdisableToolchain -DskipTests;mvn -B package --file pom.xml -DdisableToolchai
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (jdbc, Standalone, MySQL, sharding_encrypt_shadow, );0;0;mvn -B package --file pom.xml -DdisableToolchain -DskipTests;mvn -B package --file pom.xml -DdisableToolchai
sofastack;sofa-jraft;build.yml;test_jraft_core;1;1;mvn clean install -DskipTests=true -Dmaven.javadoc.skip=true -B -V && mvn --projects jraft-core test -Dtest.skip=true;mvn clean install -DskipTests=true -Dmaven.javadoc.skip=true -B -V && (mvn --projects jraft-core test || mvn --projects jraft-core test || mvn --projects jraft-core test
apache;incubator-seata;test-druid.yml;test-druid (1.2.13);1;1;./mvnw -T 4C clean test \       -Ddruid.version=${{ matrix.druid }} \       -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn \       -Dmaven.test.failure.ignore=true;"./mvnw -T 4C clean test \
       -Ddruid.version=${{ matrix.druid }} \
       -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
cryptomator;cryptomator;pullrequest.yml;test;3;3;xvfb-run mvn -B clean install jacoco:report -Pcoverage -Djavafx.platform=linux -DskipTests -Dmaven.test.skip=true;xvfb-run mvn -B clean install jacoco:report -Pcoverage -Djavafx.platform=linu
apache;shardingsphere-elasticjob;required-check.yml;check-checkstyle;5;0;xvfb-run mvn -B clean install jacoco:report -Pcoverage -Djavafx.platform=linux -DskipTests -Dmaven.test.skip=true;xvfb-run mvn -B clean install jacoco:report -Pcoverage -Djavafx.platform=linu
apache;shardingsphere-elasticjob;required-check.yml;check-license;0;0;xvfb-run mvn -B clean install jacoco:report -Pcoverage -Djavafx.platform=linux -DskipTests -Dmaven.test.skip=true;xvfb-run mvn -B clean install jacoco:report -Pcoverage -Djavafx.platform=linu
apache;shardingsphere;e2e-sql.yml;e2e-sql (jdbc, Standalone, PostgreSQL, readwrite_splitting_and_shadow, );0;0;xvfb-run mvn -B clean install jacoco:report -Pcoverage -Djavafx.platform=linux -DskipTests -Dmaven.test.skip=true;xvfb-run mvn -B clean install jacoco:report -Pcoverage -Djavafx.platform=linu
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Standalone, MySQL, db, );0;0;xvfb-run mvn -B clean install jacoco:report -Pcoverage -Djavafx.platform=linux -DskipTests -Dmaven.test.skip=true;xvfb-run mvn -B clean install jacoco:report -Pcoverage -Djavafx.platform=linu
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Standalone, openGauss, sharding_encrypt_shadow, );0;0;xvfb-run mvn -B clean install jacoco:report -Pcoverage -Djavafx.platform=linux -DskipTests -Dmaven.test.skip=true;xvfb-run mvn -B clean install jacoco:report -Pcoverage -Djavafx.platform=linu
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (proxy, Standalone, PostgreSQL, mask_encrypt, );0;0;xvfb-run mvn -B clean install jacoco:report -Pcoverage -Djavafx.platform=linux -DskipTests -Dmaven.test.skip=true;xvfb-run mvn -B clean install jacoco:report -Pcoverage -Djavafx.platform=linu
apache;rocketmq;coverage.yml;calculate-coverage;0;0;xvfb-run mvn -B clean install jacoco:report -Pcoverage -Djavafx.platform=linux -DskipTests -Dmaven.test.skip=true;xvfb-run mvn -B clean install jacoco:report -Pcoverage -Djavafx.platform=linu
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Standalone, PostgreSQL, shadow, );0;0;xvfb-run mvn -B clean install jacoco:report -Pcoverage -Djavafx.platform=linux -DskipTests -Dmaven.test.skip=true;xvfb-run mvn -B clean install jacoco:report -Pcoverage -Djavafx.platform=linu
apache;shardingsphere;nightly-e2e-sql.yml;e2e-sql (jdbc, Standalone, openGauss, db, );0;0;xvfb-run mvn -B clean install jacoco:report -Pcoverage -Djavafx.platform=linux -DskipTests -Dmaven.test.skip=true;xvfb-run mvn -B clean install jacoco:report -Pcoverage -Djavafx.platform=linu
apache;shardingsphere;e2e-sql.yml;e2e-sql (jdbc, Standalone, MySQL, empty_storage_units, );0;0;xvfb-run mvn -B clean install jacoco:report -Pcoverage -Djavafx.platform=linux -DskipTests -Dmaven.test.skip=true;xvfb-run mvn -B clean install jacoco:report -Pcoverage -Djavafx.platform=linu
apache;incubator-seata;test-ubuntu.yml;test (11, ubuntu, 2.6.15         -D spring-framework.version=5.3.27);7;7;;"./mvnw -T 4C clean test -P args-for-client-test -Dspring-boot.version=${{ matrix.springboot }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Standalone, PostgreSQL, mask_encrypt, );0;0;;"./mvnw -T 4C clean test -P args-for-client-test -Dspring-boot.version=${{ matrix.springboot }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
crate;crate;main.yml;test (ubuntu-latest);17;17;;"mvn test \
  -Dtests.crate.run-windows-incompatible=true \
  -DforkCount=2 \
  -DthreadCount=2 \
  -Dcheckstyle.skip \
  -Dforbiddenapis.skip=true \
  -Dmaven.javadoc.skip=true \
  -Djacoco.skip=true"
immutables;immutables;ci.yml;build (17, ecj, none);14;14;;mvn --batch-mode --no-transfer-progress clean test -P${{ matrix.compiler }} -Dextra=${{ matrix.extra }
apache;zeppelin;core.yml;core-modules (11);266;266;"
./mvnw install -Pbuild-distr -DskipTests -pl zeppelin-server,zeppelin-web,spark-submit,spark/scala-2.12,spark/scala-2.13,markdown,angular,shell -am -Pweb-classic -Phelium-dev -Pexamples ${MAVEN_ARGS} -Dfrontend-maven-plugin.node.skip.tests=true ";"./mvnw package -pl zeppelin-plugins -amd ${MAVEN_ARGS}
./mvnw install -Pbuild-distr -DskipTests -pl zeppelin-server,zeppelin-web,spark-submit,spark/scala-2.12,spark/scala-2.13,markdown,angular,shell -am -Pweb-classic -Phelium-dev -Pexamples ${MAVEN_ARGS"
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Standalone, MySQL, sharding_encrypt_shadow, );0;0;"
./mvnw install -Pbuild-distr -DskipTests -pl zeppelin-server,zeppelin-web,spark-submit,spark/scala-2.12,spark/scala-2.13,markdown,angular,shell -am -Pweb-classic -Phelium-dev -Pexamples ${MAVEN_ARGS} -Dfrontend-maven-plugin.node.skip.tests=true ";"./mvnw package -pl zeppelin-plugins -amd ${MAVEN_ARGS}
./mvnw install -Pbuild-distr -DskipTests -pl zeppelin-server,zeppelin-web,spark-submit,spark/scala-2.12,spark/scala-2.13,markdown,angular,shell -am -Pweb-classic -Phelium-dev -Pexamples ${MAVEN_ARGS"
flowable;flowable-engine;postgres.yml;test_postgres (15);65;65;;./mvnw clean install ${MAVEN_ARGS} -PcleanDb,postgresql,distro -P'!include-spring-boot-samples' -Djdbc.url=jdbc:postgresql://localhost:${{ job.services.postgres.ports[5432] }}/flowable -Djdbc.username=flowable -Djdbc.password=flowable -Djdbc.driver=org.postgresql.Driver -Dspring.datasource.url=jdbc:postgresql://localhost:${{ job.services.postgres.ports[5432] }}/flowable -Dspring.datasource.username=flowable -Dspring.datasource.password=flowable -Dmaven.test.redirectTestOutputToFile=fals
linlinjava;litemall;main.yml;Litemall-vue (10.x);10;0;;./mvnw clean install ${MAVEN_ARGS} -PcleanDb,postgresql,distro -P'!include-spring-boot-samples' -Djdbc.url=jdbc:postgresql://localhost:${{ job.services.postgres.ports[5432] }}/flowable -Djdbc.username=flowable -Djdbc.password=flowable -Djdbc.driver=org.postgresql.Driver -Dspring.datasource.url=jdbc:postgresql://localhost:${{ job.services.postgres.ports[5432] }}/flowable -Dspring.datasource.username=flowable -Dspring.datasource.password=flowable -Dmaven.test.redirectTestOutputToFile=fals
clojure;clojure;test.yml;test (ubuntu-latest, 21, temurin, test-no-direct);1;1;mvn -ntp -B -P${{ matrix.profile }} clean test -Dmaven.test.skip=true;mvn -ntp -B -P${{ matrix.profile }} clean tes
jtablesaw;tablesaw;ci.yml;Tests (11, ubuntu-latest);7;7;mvn test -DskipTests;mvn tes
stleary;JSON-java;pipeline.yml;build-1_6;0;0;mvn test -DskipTests;mvn tes
apache;incubator-seata;test-druid.yml;test-druid (1.2.7);1;1;./mvnw -T 4C clean test -Ddruid.version=${{ matrix.druid }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn -Dmaven.test.failure.ignore=true ;"./mvnw -T 4C clean test \
       -Ddruid.version=${{ matrix.druid }} \
       -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
apache;linkis;check-license.yml;apache-rat-check;0;0;./mvnw -T 4C clean test -Ddruid.version=${{ matrix.druid }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn -Dmaven.test.failure.ignore=true ;"./mvnw -T 4C clean test \
       -Ddruid.version=${{ matrix.druid }} \
       -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Standalone, MySQL, sharding_and_shadow, );0;0;./mvnw -T 4C clean test -Ddruid.version=${{ matrix.druid }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn -Dmaven.test.failure.ignore=true ;"./mvnw -T 4C clean test \
       -Ddruid.version=${{ matrix.druid }} \
       -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
apache;shardingsphere;e2e-sql.yml;e2e-sql (jdbc, Standalone, PostgreSQL, mask_sharding, );0;0;./mvnw -T 4C clean test -Ddruid.version=${{ matrix.druid }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn -Dmaven.test.failure.ignore=true ;"./mvnw -T 4C clean test \
       -Ddruid.version=${{ matrix.druid }} \
       -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
apache;shardingsphere;e2e-sql.yml;e2e-sql (proxy, Cluster, MySQL, readwrite_splitting_and_shadow, );0;0;./mvnw -T 4C clean test -Ddruid.version=${{ matrix.druid }} -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn -Dmaven.test.failure.ignore=true ;"./mvnw -T 4C clean test \
       -Ddruid.version=${{ matrix.druid }} \
       -e -B -Dorg.slf4j.simpleLogger.log.org.apache.maven.cli.transfer.Slf4jMavenTransferListener=warn;"
